['1025.2.a.h', '1025.2.a.j']
['6144.2.a.c', '6144.2.a.d']
['6144.2.a.e', '6144.2.a.g']
['6144.2.a.g', '6144.2.a.h']
['6474.2.a.q', '6474.2.a.r']
['6496.2.a.m', '6496.2.a.t']
['6496.2.a.r', '6496.2.a.u']
['6500.2.a.a', '6500.2.a.h']
['6500.2.a.f', '6500.2.a.g']
['6650.2.a.bq', '6650.2.a.bv']
['6700.2.a.p', '6700.2.a.t']
['6825.2.a.bg', '6825.2.a.w']
['6840.2.a.bd', '6840.2.a.bm']
['6900.2.a.m', '6900.2.a.x']
['6960.2.a.cc', '6960.2.a.co']
['6976.2.a.bb', '6976.2.a.m']
['6976.2.a.bc', '6976.2.a.l']
['7018.2.a.j', '7018.2.a.q']
['7018.2.a.p', '7018.2.a.s']
['7070.2.a.p', '7070.2.a.r']
['7110.2.a.bf', '7110.2.a.z']
['7272.2.a.r', '7272.2.a.t']
['7326.2.a.ba', '7326.2.a.bk']
['7380.2.a.j', '7380.2.a.t']
['7380.2.a.o', '7380.2.a.t']
['7472.2.a.g', '7472.2.a.j']
['7497.2.a.bj', '7497.2.a.t']
['7497.2.a.bk', '7497.2.a.u']
['7520.2.a.k', '7520.2.a.p']
['7520.2.a.n', '7520.2.a.o']
['7550.2.a.s', '7550.2.a.t']
['7590.2.a.bc', '7590.2.a.bn']
['7600.2.a.bh', '7600.2.a.bz']
['7600.2.a.bk', '7600.2.a.cc']
['7632.2.a.be', '7632.2.a.bi']
['7744.2.a.bz', '7744.2.a.dl']
['7744.2.a.ca', '7744.2.a.dm']
['7744.2.a.co', '7744.2.a.dl']
['7744.2.a.cp', '7744.2.a.dm']
['7791.2.a.ba', '7791.2.a.u']
['8120.2.a.l', '8120.2.a.m']
['8228.2.a.h', '8228.2.a.n']
['8228.2.a.i', '8228.2.a.o']
['8240.2.a.x', '8240.2.a.y']
['8379.2.a.bh', '8379.2.a.ca']
['8379.2.a.bm', '8379.2.a.bz']
['8406.2.a.m', '8406.2.a.o']
['8415.2.a.bc', '8415.2.a.z']
['8428.2.a.e', '8428.2.a.l']
['8505.2.a.k', '8505.2.a.t']
['8505.2.a.n', '8505.2.a.q']
['8649.2.a.a', '8649.2.a.s']
['8649.2.a.b', '8649.2.a.t']
['8649.2.a.s', '8649.2.a.t']
['8736.2.a.be', '8736.2.a.ca']
['8736.2.a.bm', '8736.2.a.ce']
['8874.2.a.k', '8874.2.a.t']
['9000.2.a.bb', '9000.2.a.i']
['9000.2.a.h', '9000.2.a.q']
['9152.2.a.bk', '9152.2.a.cj']
['9152.2.a.bp', '9152.2.a.cf']
['9200.2.a.bo', '9200.2.a.cq']
['9200.2.a.by', '9200.2.a.ck']
['9225.2.a.bv', '9225.2.a.ca']
['9248.2.a.bc', '9248.2.a.bc']
['9280.2.a.bg', '9280.2.a.bz']
['9280.2.a.bx', '9280.2.a.cf']
['934.2.a.e', '934.2.a.g']
['9520.2.a.ba', '9520.2.a.bg']
['9550.2.a.j', '9550.2.a.m']
['9610.2.a.ba', '9610.2.a.bf']
['9610.2.a.bb', '9610.2.a.be']
['9610.2.a.bb', '9610.2.a.e']
['9610.2.a.bc', '9610.2.a.bf']
['9610.2.a.bd', '9610.2.a.z']
['9610.2.a.bd', '9610.2.a.q']
['9610.2.a.bd', '9610.2.a.s']
['9610.2.a.bd', '9610.2.a.bj']
['9610.2.a.be', '9610.2.a.z']
['9610.2.a.be', '9610.2.a.bi']
['9610.2.a.be', '9610.2.a.bj']
['9610.2.a.bf', '9610.2.a.bg']
['9610.2.a.bf', '9610.2.a.bh']
['9610.2.a.bi', '9610.2.a.e']
['9610.2.a.bk', '9610.2.a.bt']
['9610.2.a.bk', '9610.2.a.p']
['9610.2.a.bl', '9610.2.a.y']
['9610.2.a.bl', '9610.2.a.bq']
['9610.2.a.bl', '9610.2.a.bu']
['9610.2.a.bl', '9610.2.a.br']
['9610.2.a.bm', '9610.2.a.bu']
['9610.2.a.bm', '9610.2.a.bs']
['9610.2.a.bn', '9610.2.a.bq']
['9610.2.a.bn', '9610.2.a.br']
['9610.2.a.bn', '9610.2.a.bs']
['9610.2.a.bq', '9610.2.a.y']
['9610.2.a.bq', '9610.2.a.by']
['9610.2.a.bq', '9610.2.a.bt']
['9610.2.a.bq', '9610.2.a.bw']
['9610.2.a.bq', '9610.2.a.br']
['9610.2.a.bq', '9610.2.a.w']
['9610.2.a.br', '9610.2.a.y']
['9610.2.a.br', '9610.2.a.bx']
['9610.2.a.br', '9610.2.a.w']
['9610.2.a.bs', '9610.2.a.bv']
['9610.2.a.bs', '9610.2.a.bw']
['9610.2.a.bt', '9610.2.a.y']
['9610.2.a.bt', '9610.2.a.by']
['9610.2.a.bt', '9610.2.a.bw']
['9610.2.a.bt', '9610.2.a.w']
['9610.2.a.bu', '9610.2.a.bv']
['9610.2.a.bu', '9610.2.a.by']
['9610.2.a.bx', '9610.2.a.p']
['9610.2.a.by', '9610.2.a.w']
['9660.2.a.n', '9660.2.a.o']
['9680.2.a.bw', '9680.2.a.cm']
['9680.2.a.bx', '9680.2.a.cn']
